PROFILE_ID,REACHED_40_EVENTS,REACHED_80_EVENTS,EVENT_CYCLES_F40,DISTINCT_ARTICLES_F40,PERCENT_GOOGLE_ARTICLES_F40,PERCENT_ARTICLE_CONTENT_F40,AVERAGE_CONTENT_SCORE_F40,DAYS_TO_FORTY_EVENTS
SnV-IYMB28LFeUkXgi4s,1,0,5,3,0.000000,0.166667,351.50701594645494,60.0
zwDoYoIB8Tq1gs32z6aP,1,1,4,5,0.000000,0.625000,395.10360734994543,125.0
v1oh_YMBGoM3uBpF1Rbx,1,0,7,7,0.000000,0.875000,22.343936632507372,91.0
rrO4_YMB28LFeUkXS7ki,1,0,6,8,0.000000,0.800000,0.0,50.0
6k6hj4IBGoM3uBpFSY8N,1,1,6,7,0.000000,1.000000,0.0,20.0
H-S9tYIBGoM3uBpFyidl,1,0,8,2,0.000000,1.000000,0.0,54.0
-LKK_YMB28LFeUkXu9sX,1,1,6,6,0.166667,0.857143,0.0,64.0
2LOx_YMB28LFeUkXHpjX,1,1,8,5,0.000000,0.555556,547.15626503878,51.0
fx5dRoIBUgM-564PHpfD,1,0,2,1,0.000000,1.000000,0.0,6.0
-rZPfIIBGoM3uBpFbwyz,1,1,4,5,1.000000,0.833333,0.0,67.0
XUZBF4MB28LFeUkX5wPg,1,0,6,2,0.000000,1.000000,0.0,83.0
2gvs3YEBuqp2E9ofhYos,1,1,1,1,0.000000,0.333333,433.7479348222772,7.0
5hZw34EBuqp2E9of9r7u,1,0,2,7,0.000000,0.875000,0.0,6.0
de01EoQBwWEOklUHILcr,1,0,4,1,1.000000,1.000000,0.0,27.0
m5vC8IMB28LFeUkXFZGN,1,1,1,1,0.000000,1.000000,0.0,0.0
cVs_G4MB28LFeUkXYTBQ,1,1,3,7,0.142857,0.777778,220.40698257483254,10.0
Kf0S8oIB28LFeUkX469v,1,1,4,3,0.000000,0.750000,16.769862851532327,14.0
tllQkIIBGoM3uBpF9ESA,1,0,6,1,0.000000,1.000000,0.0,61.0
skljaYIB8Tq1gs32qIUg,1,0,2,2,0.500000,1.000000,0.0,72.0
SL8qnoMB28LFeUkXj3c-,1,1,1,1,1.000000,1.000000,0.0,0.0
SKUUgYQBwWEOklUH-yYb,1,1,1,1,1.000000,1.000000,0.0,0.0
7LKO_YMB28LFeUkX_flO,1,0,6,5,0.000000,1.000000,0.0,82.0
DlCQyYIBGoM3uBpFHODN,1,0,5,4,0.000000,1.000000,0.0,49.0
8VoX04MB28LFeUkXyWi8,1,0,5,2,0.500000,1.000000,0.0,48.0
XtuTX4IB8Tq1gs32q_Da,1,1,8,9,0.000000,0.900000,0.0,100.0
4x-8XoIBPPKlNqPW2TwC,1,1,4,6,0.000000,0.666667,352.6609809933185,36.0
bqdesIIBGoM3uBpF767r,1,0,8,7,0.000000,0.875000,0.0,100.0
RbOb_YMB28LFeUkXTjME,1,1,6,3,0.333333,1.000000,0.0,39.0
72fOqIIBGoM3uBpFlnsN,1,1,5,4,0.250000,0.500000,0.5384639189190862,73.0
emGvQ4EBlNqnsgIRD0TR,1,0,2,1,0.000000,1.000000,0.0,17.0
nFl9f4MB28LFeUkXPZdx,1,1,4,7,0.857143,1.000000,0.0,20.0
dI8BF4IBUgM-564PJ3Ts,1,0,2,6,0.000000,1.000000,0.0,10.0
9VyL_YMBGoM3uBpFIySQ,1,0,7,5,0.600000,0.714286,15.210648517623827,105.0
-3P_EoIBUgM-564PjVeN,1,0,2,4,0.250000,0.800000,0.0,11.0
_y5p34QBRkWobPtwi81u,1,0,1,7,0.000000,0.700000,9.850293887851178,2.0
AXIkq4IBGoM3uBpFXcT5,1,0,4,4,0.500000,0.666667,38.99152421833018,123.0
XsbrDIMB28LFeUkXvtG6,1,1,4,13,0.000000,1.000000,0.0,14.0
sx_EXoIBPPKlNqPWiIkt,1,0,11,8,0.000000,0.666667,517.2064284936266,108.0
nQI-84IB28LFeUkXkgf7,1,0,7,6,0.333333,1.000000,0.0,87.0
Gwc3HIQBwWEOklUHYPxt,1,1,2,5,0.000000,1.000000,0.0,12.0
r7rsnIMB28LFeUkXXuzl,1,1,3,2,0.000000,1.000000,0.0,27.0
M4WkVoAB-TISWGBhwLnh,1,0,2,5,0.000000,1.000000,0.0,7.0
u-3-EYQBwWEOklUHmxko,1,1,1,4,0.000000,0.666667,320.40913498860374,0.0
q8yToYMB28LFeUkX1YyP,1,0,1,1,0.000000,1.000000,0.0,5.0
osrEZYMB28LFeUkXUxkH,1,1,3,7,0.000000,1.000000,0.0,11.0
fAUgG4QBwWEOklUH41Mr,1,0,2,2,1.000000,0.500000,146.43504137280993,29.0
wsbR0H8Bale87oUguQ2E,1,1,1,13,0.000000,0.541667,125.35069070395818,0.0
wRQS_YEBuqp2E9ofMQhN,1,0,5,2,1.000000,1.000000,0.0,19.0
7OME7YIB28LFeUkXk8y4,1,0,1,2,1.000000,0.666667,155.9660968733207,6.0
bicqcYAB-TISWGBhl8fr,1,0,6,9,0.555556,0.750000,259.7165428929207,46.0
l1yM_YMBGoM3uBpFRSqW,1,0,4,7,0.285714,1.000000,0.0,100.0
3PtKF4QBwWEOklUHtH1n,1,1,1,12,0.000000,0.800000,39.66767650197709,0.0
GwVVoIIBGoM3uBpF_INY,1,1,5,5,0.600000,1.000000,0.0,37.0
TaFWgIQBwWEOklUHI_GM,1,0,4,5,0.400000,1.000000,0.0,28.0
9KnJtoABlNqnsgIR_zAH,1,1,1,7,0.000000,0.437500,428.74756789367416,4.0
UguHhIIBGoM3uBpFIQY0,1,0,3,6,0.000000,1.000000,0.0,89.0
lbL31YIB28LFeUkXuToG,1,1,5,9,0.000000,1.000000,0.0,32.0
BBy--IIB28LFeUkXTbh6,1,0,6,9,1.000000,1.000000,0.0,77.0
-giraoIBGoM3uBpF63Bh,1,1,5,7,0.000000,0.583333,181.82419935328122,40.0
